2021-11-08 11:48:02.868458, xqcow, zatr3z, TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL, PRIVMSG
2021-11-08 11:48:02.868467, xqcow, xxkandax, HEADSHOTS DO MORE DAMAGE OMEGALUL HEADSHOTS DO MORE DAMAGE OMEGALUL  HEADSHOTS DO MORE DAMAGE OMEGALUL  HEADSHOTS DO MORE DAMAGE OMEGALUL HEADSHOTS DO MORE DAMAGE OMEGALUL, PRIVMSG
2021-11-08 11:48:03.052940, xqcow, budmademewiser, WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW, PRIVMSG
2021-11-08 11:48:03.053024, xqcow, renschnee, losing, PRIVMSG
2021-11-08 11:48:03.234823, xqcow, captain_pyro, The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair The war..all again TrollDespair, PRIVMSG
2021-11-08 11:48:03.234865, xqcow, inhimility, JUST STOP THIS ALREADY OMEGALUL, PRIVMSG
2021-11-08 11:48:03.415705, xqcow, metahead69, Copege, PRIVMSG
2021-11-08 11:48:03.602278, xqcow, fossabot, xqcL Annsswer just joined the jungle! xqcL Thanks so much for subbing xqcL And supporting the stream! xqcL, PRIVMSG
2021-11-08 11:48:03.602310, xqcow, ki7roy, WAYTOODANK ANNOUNCER, PRIVMSG
2021-11-08 11:48:03.786836, xqcow, koyoshii, TrollDespair, PRIVMSG
2021-11-08 11:48:03.971385, xqcow, kevin__22_, WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW, PRIVMSG
2021-11-08 11:48:04.245888, xqcow, ace_9975, XDDDDD, PRIVMSG
2021-11-08 11:48:04.435268, xqcow, xqcsfemboy, loosing, PRIVMSG
2021-11-08 11:48:04.435316, xqcow, thsent, Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS Copege ⚠️ UNREACHED LEVELS, PRIVMSG
2021-11-08 11:48:04.435336, xqcow, ip0g, Clueless, PRIVMSG
2021-11-08 11:48:04.693530, xqcow, kubonori, bruh this isnt "gooogooga coochie pee oh see me dad" , shoot some mufuckers, PRIVMSG
2021-11-08 11:48:04.880272, xqcow, tombongeleh77, LOSING, PRIVMSG
2021-11-08 11:48:04.880297, xqcow, grgory980, xqcLL, PRIVMSG
2021-11-08 11:48:05.071923, xqcow, virtuosovi, xqcLL, PRIVMSG
2021-11-08 11:48:05.071957, xqcow, og_riley, LULW CONTROLLER CARL, PRIVMSG
2021-11-08 11:48:05.071970, xqcow, acxtreme664, ONE KILL = PogU ONE DEATH = OMEGALUL ONE KILL = PogU ONE DEATH = OMEGALUL ONE KILL = PogU ONE DEATH = OMEGALUL ONE KILL = PogU ONE DEATH = OMEGALUL, PRIVMSG
2021-11-08 11:48:05.258193, xqcow, bumzoid, LOSING Kreygasm, PRIVMSG
2021-11-08 11:48:05.258235, xqcow, iamslaytanic, 4Shrug, PRIVMSG
2021-11-08 11:48:05.443213, xqcow, hiyeaa, PepegaAim  PepegaAim  PepegaAim  PepegaAim, PRIVMSG
2021-11-08 11:48:05.642028, xqcow, t0x1c2345, !watchtime, PRIVMSG
2021-11-08 11:48:05.642072, xqcow, maxliimit, Ur aim is bad, PRIVMSG
2021-11-08 11:48:05.642086, xqcow, partygoy, controller forsenCD controller forsenCD controller forsenCD controller forsenCD controller forsenCD, PRIVMSG
2021-11-08 11:48:05.887628, xqcow, darknessus, I CAN'T xqcOmega xqcOmega xqcOmega, PRIVMSG
2021-11-08 11:48:05.887669, xqcow, schnozebot, T0X1C2345 has spent 21 hours and 20 minutes in online chat., PRIVMSG
2021-11-08 11:48:05.887685, xqcow, cacauwuman, PepegaAim, PRIVMSG
2021-11-08 11:48:05.887699, xqcow, adam7600, losing, PRIVMSG
2021-11-08 11:48:05.887713, xqcow, josjh_liquid, OMEGALUL, PRIVMSG
2021-11-08 11:48:06.075396, xqcow, quinntecha, THAT WON'T HELP OMEGALUL, PRIVMSG
2021-11-08 11:48:06.075438, xqcow, tjfrisbee, recoil is so bad lol, PRIVMSG
2021-11-08 11:48:06.075455, xqcow, ecp_sharky, WHEN IS BATTLEFIELD OMEGALUL, PRIVMSG
2021-11-08 11:48:06.268323, xqcow, noblissxo, losing, PRIVMSG
2021-11-08 11:48:06.268365, xqcow, deatron, @xqcow  you literally playing blitz, of course it will be chaotic LULW, PRIVMSG
2021-11-08 11:48:06.464064, xqcow, psysd, losing, PRIVMSG
2021-11-08 11:48:06.464107, xqcow, masuven, OMEGALUL, PRIVMSG
2021-11-08 11:48:06.464122, xqcow, gel0us, switch guns bro, PRIVMSG
2021-11-08 11:48:06.464135, xqcow, legitblue6, holy, PRIVMSG
2021-11-08 11:48:06.464149, xqcow, queefity, PepegaAim  PepegaAim  PepegaAim, PRIVMSG
2021-11-08 11:48:06.646941, xqcow, goldenmike2008, winning, PRIVMSG
2021-11-08 11:48:06.957013, xqcow, lausoo, SO BAD OMEGALUL, PRIVMSG
2021-11-08 11:48:07.220922, xqcow, chefbronel, 4Shrug just blizzard tings, PRIVMSG
2021-11-08 11:48:07.404630, xqcow, oskk__, lol, PRIVMSG
2021-11-08 11:48:07.404656, xqcow, lulziggy, C OMEGALUL NTROLLER C OMEGALUL NTROLLER C OMEGALUL NTROLLER C OMEGALUL NTROLLER, PRIVMSG
2021-11-08 11:48:07.588198, xqcow, xyzeens, SO BAD LUL, PRIVMSG
2021-11-08 11:48:07.775648, xqcow, ant__k, OMEGALUL, PRIVMSG
2021-11-08 11:48:07.966517, xqcow, kubz1, WHAT DO U THINK? LULW, PRIVMSG
2021-11-08 11:48:07.966559, xqcow, qwerty_fps, SAME GAME EVERY YEAR LULW, PRIVMSG
2021-11-08 11:48:07.966576, xqcow, atomicn30n, GTA HAS BETTER HIT HIT REGISTRATION OMEGALUL GTA HAS BETTER HIT HIT REGISTRATION OMEGALUL GTA HAS BETTER HIT HIT REGISTRATION OMEGALUL GTA HAS BETTER HIT HIT REGISTRATION OMEGALUL, PRIVMSG
2021-11-08 11:48:08.159599, xqcow, silentcarrr, PepegaAim, PRIVMSG
