2021-11-08 20:30:41.042260, rainbow6, seriouslysalty, Maestro with the auto shotty KEKW, PRIVMSG
2021-11-08 20:30:41.545451, rainbow6, bsbcosplay, Game, PRIVMSG
2021-11-08 20:30:41.939281, rainbow6, ustiniaj, BrainSlug BrainSlug, PRIVMSG
2021-11-08 20:30:44.541039, rainbow6, themafiarulez, 2 packs already claimed KEKW, PRIVMSG
2021-11-08 20:30:45.257975, rainbow6, tsun4m1_g4ming, @czrpando It be like that i figured the drops would be charms LUL, PRIVMSG
2021-11-08 20:30:48.532305, rainbow6, nissanagi, where esports shop?, PRIVMSG
2021-11-08 20:30:53.219797, rainbow6, reallyblessqd, @donq_r6s yeah it’s not working for me, PRIVMSG
2021-11-08 20:30:53.416263, rainbow6, moobot, As this broadcast is in English, please converse in English in the chat., PRIVMSG
2021-11-08 20:31:01.427297, rainbow6, ekwesu, what region is CHiefs from?, PRIVMSG
2021-11-08 20:31:01.628556, rainbow6, reallyblessqd, @donq_r6s what do I do, PRIVMSG
2021-11-08 20:31:04.090176, rainbow6, hazukiwazuki, !matches, PRIVMSG
2021-11-08 20:31:04.377751, rainbow6, moobot, @HazukiWazuki https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/events/sweden-major, PRIVMSG
2021-11-08 20:31:05.084834, rainbow6, aserityng, The reveal is at 10am PST 11am MST 12pm CST and 1pm EST, PRIVMSG
2021-11-08 20:31:07.361352, rainbow6, themafiarulez, @nissanagi in game, PRIVMSG
2021-11-08 20:31:07.668307, rainbow6, trpnr6, brto its legion, PRIVMSG
2021-11-08 20:31:10.840621, rainbow6, haydoof, Ne zaman bitcek yayın ?, PRIVMSG
2021-11-08 20:31:11.043477, rainbow6, loomyoce, omg logan, PRIVMSG
2021-11-08 20:31:11.043515, rainbow6, artinbrj, !play, PRIVMSG
2021-11-08 20:31:11.043526, rainbow6, seriouslysalty, KEKW, PRIVMSG
2021-11-08 20:31:11.500057, rainbow6, bl00m_wrld, @DonQ_r6s what?, PRIVMSG
2021-11-08 20:31:13.314325, rainbow6, beni_zm, claimed 3 drop packs about 3 months ago and haven't received them yet LUL, PRIVMSG
2021-11-08 20:31:14.831734, rainbow6, artinbrj, !games, PRIVMSG
2021-11-08 20:31:15.027398, rainbow6, moobot, @artinbrj https://siege.gg/matches?tab=upcoming, PRIVMSG
2021-11-08 20:31:24.657822, rainbow6, daedelus1984, claim free gift in game...... no gift 🤣, PRIVMSG
2021-11-08 20:31:25.005336, rainbow6, schwifty_247, !drops, PRIVMSG
2021-11-08 20:31:25.214577, rainbow6, moobot, @schwifty_247 LINK your account here: https://drops-register.ubi.com/ | Check your DROPS PROGRESS here: https://www.twitch.tv/drops/inventory | For more info: https://www.twitch.tv/drops/campaigns | Event Guide: https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/news-updates/1YixsoBSeyKb56TZIDyfB2, PRIVMSG
2021-11-08 20:31:27.213788, rainbow6, nissanagi, @themafiarulez thanks man, PRIVMSG
2021-11-08 20:31:27.827956, rainbow6, neonyagami, CaitlynS, PRIVMSG
2021-11-08 20:31:28.043711, rainbow6, rigby617, xırpani, PRIVMSG
2021-11-08 20:31:33.353197, rainbow6, phoenixanz, wat, PRIVMSG
2021-11-08 20:31:33.763155, rainbow6, rrepix, dgtl about to go huge, PRIVMSG
2021-11-08 20:31:35.298849, rainbow6, yyxelfqx, !Drops, PRIVMSG
2021-11-08 20:31:35.707386, rainbow6, tsun4m1_g4ming, the AA12 gonna get nerfed afterthis LUL, PRIVMSG
2021-11-08 20:31:36.116833, rainbow6, seriouslysalty, @Aserityng Doing great work with that, PRIVMSG
2021-11-08 20:31:36.319262, rainbow6, improved_bread_cabinet, siege timing, PRIVMSG
2021-11-08 20:31:37.958979, rainbow6, donq_r6s, @reallyblessqd just start the game then on left bottom where the news is there a free gift message, PRIVMSG
2021-11-08 20:31:38.316948, rainbow6, logiikr6, uh, PRIVMSG
2021-11-08 20:31:39.698650, rainbow6, justnicknl23, That timing bang xD, PRIVMSG
2021-11-08 20:31:43.961091, rainbow6, cjohncol, @beni_zm link your accounts then, PRIVMSG
2021-11-08 20:31:44.180124, rainbow6, twizyfps, LUL LUL LUL LUL, PRIVMSG
2021-11-08 20:31:44.506074, rainbow6, charismaticrage, somebody tell Blu its "Legion", PRIVMSG
2021-11-08 20:31:47.272853, rainbow6, shigganori, AUDIO???, PRIVMSG
2021-11-08 20:31:47.578171, rainbow6, t0nexx, ?, PRIVMSG
2021-11-08 20:31:50.136358, rainbow6, saveabjays, gn, PRIVMSG
2021-11-08 20:31:51.273900, rainbow6, reallyblessqd, @donq_r6s what do I do bro, PRIVMSG
2021-11-08 20:31:53.507216, rainbow6, cq7021568, FeelsAmazingMan, PRIVMSG
2021-11-08 20:31:55.561333, rainbow6, that_streamer_kid, smoke drugs, PRIVMSG
2021-11-08 20:31:58.220787, rainbow6, f_a_lc_o_n, sound !!!!!!!!!!!!!, PRIVMSG
2021-11-08 20:31:58.427871, rainbow6, dokkifps, !caster, PRIVMSG
2021-11-08 20:31:58.864918, rainbow6, quazarcx, Cyber pog, PRIVMSG
2021-11-08 20:32:00.583757, rainbow6, aserityng, @seriouslysalty thanks, PRIVMSG
2021-11-08 20:32:00.780857, rainbow6, miwwky, just stares at nothing, PRIVMSG
2021-11-08 20:32:00.978125, rainbow6, b0urne_, @beni_zm there's no claiming - did you link Ubi account to Twitch? :), PRIVMSG
2021-11-08 20:32:03.321279, rainbow6, dokkifps, !casters, PRIVMSG
2021-11-08 20:32:04.980761, rainbow6, cq7021568, OMEGALUL, PRIVMSG
2021-11-08 20:32:08.368488, rainbow6, spartanward105330, @tsun4m1_g4ming LUL gun is finally good and it’s gonna be gone very soon, PRIVMSG
2021-11-08 20:32:10.519290, rainbow6, skpfunz, Y6S4 reveal after this game?, PRIVMSG
2021-11-08 20:32:11.171230, rainbow6, g0rd0nn2, lets go gaulesBr, PRIVMSG
