2021-11-08 11:37:50.859455, xqcow, newfrogs, BatChest, PRIVMSG
2021-11-08 11:37:51.046807, xqcow, ismokecrackbro, Lol, PRIVMSG
2021-11-08 11:37:51.046853, xqcow, midnightxm, graphics are nice, PRIVMSG
2021-11-08 11:37:51.289204, xqcow, itzs_justin, SNOWZERRRRRR, PRIVMSG
2021-11-08 11:37:51.473329, xqcow, deatron, @xqcow do blitz to level up quick, PRIVMSG
2021-11-08 11:37:51.473359, xqcow, instinct4220, asssssssssssssssssssss, PRIVMSG
2021-11-08 11:37:51.473377, xqcow, pepsm8, PepeLaugh, PRIVMSG
2021-11-08 11:37:51.663478, xqcow, doupr, monkaS, PRIVMSG
2021-11-08 11:37:51.663521, xqcow, gdjasperot, xqcLL, PRIVMSG
2021-11-08 11:37:51.663723, xqcow, alexfettuccine, xqcLL, PRIVMSG
2021-11-08 11:37:51.663752, xqcow, harvzz, BatChest, PRIVMSG
2021-11-08 11:37:51.663766, xqcow, carryal0t, OMEGALUL, PRIVMSG
2021-11-08 11:37:51.852770, xqcow, bbbaddict, BOOBA, PRIVMSG
2021-11-08 11:37:52.038665, xqcow, howie15slam, WOMEN SOLDIER?, PRIVMSG
2021-11-08 11:37:52.250677, xqcow, 5indigoeyes, lady gaga :), PRIVMSG
2021-11-08 11:37:52.435637, xqcow, oskkrrrt, WHAT HAPPENED WITH THE BATTLE PASS @xQcOW, PRIVMSG
2021-11-08 11:37:52.435681, xqcow, ravenbtw, BatChest, PRIVMSG
2021-11-08 11:37:52.435698, xqcow, elix_r, PepeLaugh, PRIVMSG
2021-11-08 11:37:52.435712, xqcow, t0k3rrr, BLITZ BLITZ BLITZ, PRIVMSG
2021-11-08 11:37:52.637552, xqcow, baryleaf, :tf:, PRIVMSG
2021-11-08 11:37:52.637595, xqcow, corrosivejake_, PepeLaugh, PRIVMSG
2021-11-08 11:37:52.637611, xqcow, itmepeachy, monkaW, PRIVMSG
2021-11-08 11:37:52.875165, xqcow, warfreak876, @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS 1, PRIVMSG
2021-11-08 11:37:52.875209, xqcow, psysd, PepeLaugh, PRIVMSG
2021-11-08 11:37:52.875226, xqcow, stephenmc44, BatChest, PRIVMSG
2021-11-08 11:37:52.875240, xqcow, kenzxt, ACTIVISI OMEGALUL N, PRIVMSG
2021-11-08 11:37:53.065366, xqcow, fossabot, xqcL Sepsurei is staying in the jungle! xqcL Thanks so much for re-subbing xqcL And continuing to support the stream! xqcL, PRIVMSG
2021-11-08 11:37:53.252383, xqcow, qualis, 🦍 NO WOMEN, PRIVMSG
2021-11-08 11:37:53.252428, xqcow, aoruslord, xqcLL xqcLL xqcLL xqcLL, PRIVMSG
2021-11-08 11:37:53.252445, xqcow, carryal0t, BatChest, PRIVMSG
2021-11-08 11:37:53.436316, xqcow, polarwinds, PepeLaugh, PRIVMSG
2021-11-08 11:37:53.436360, xqcow, xicattox, POGGERS, PRIVMSG
2021-11-08 11:37:53.624141, xqcow, defnotcarson, PepeLaugh VOICE CHAT, PRIVMSG
2021-11-08 11:37:53.624184, xqcow, bagooot, DO BLITZ, PRIVMSG
2021-11-08 11:37:53.624200, xqcow, aztek26, knutVeryPog, PRIVMSG
2021-11-08 11:37:53.858246, xqcow, milkypeepo, BOOBA, PRIVMSG
2021-11-08 11:37:53.858282, xqcow, spoooderman35, ?, PRIVMSG
2021-11-08 11:37:53.858290, xqcow, ado_42, Copege, PRIVMSG
2021-11-08 11:37:54.046622, xqcow, instinct4220, asssssss, PRIVMSG
2021-11-08 11:37:54.046653, xqcow, subject12_, BatChest, PRIVMSG
2021-11-08 11:37:54.390677, xqcow, fakeman234, PepeLaugh, PRIVMSG
2021-11-08 11:37:54.595025, xqcow, microwavecoffeemonkaw, FeelsWeirdMan, PRIVMSG
2021-11-08 11:37:55.011987, xqcow, kappausten, PepeLaugh, PRIVMSG
2021-11-08 11:37:55.012061, xqcow, the2x_okaychamp, PepeLaugh, PRIVMSG
2021-11-08 11:37:55.012148, xqcow, forgettrance, Copege, PRIVMSG
2021-11-08 11:37:55.012280, xqcow, highpeor, TRIGGER DISCIPLINE!!!!!, PRIVMSG
2021-11-08 11:37:55.012319, xqcow, riskholder, LOL O NO, PRIVMSG
2021-11-08 11:37:55.012348, xqcow, sharkyhl, C OMEGALUL NSOLE, PRIVMSG
2021-11-08 11:37:55.012447, xqcow, kingghor, BatChest ONLY 3 KILLS ?, PRIVMSG
2021-11-08 11:37:55.012497, xqcow, silas_396, OMMEGALUL, PRIVMSG
2021-11-08 11:37:55.012531, xqcow, walkingsleep, 🤓, PRIVMSG
2021-11-08 11:37:55.387579, xqcow, toastedbreade, VeryPog, PRIVMSG
2021-11-08 11:37:55.772245, xqcow, simplydavee, PepeLaugh, PRIVMSG
2021-11-08 11:37:55.772273, xqcow, syqotic, xqcLL, PRIVMSG
2021-11-08 11:37:55.772281, xqcow, redmantuber, BatChest, PRIVMSG
2021-11-08 11:37:55.772289, xqcow, radster_brad52, BatChest, PRIVMSG
2021-11-08 11:37:55.772300, xqcow, zettavion, PepeLaugh 󠀀, PRIVMSG
2021-11-08 11:37:55.772309, xqcow, ch00n, BatChest, PRIVMSG
2021-11-08 11:37:55.772316, xqcow, vikiran, xQcLL, PRIVMSG
2021-11-08 11:37:55.772324, xqcow, rayezrr, pepeLaugh here we go, PRIVMSG
2021-11-08 11:37:55.772332, xqcow, mularskij1911, WOMAN😬, PRIVMSG
2021-11-08 11:37:56.003565, xqcow, sharklocks, camping the game store, PRIVMSG
2021-11-08 11:37:56.003614, xqcow, ohhlogic, PepeLaugh, PRIVMSG
2021-11-08 11:37:56.003630, xqcow, barriebax, 3 kill Pog, PRIVMSG
2021-11-08 11:37:56.003640, xqcow, suparfresh, PepeLaugh, PRIVMSG
2021-11-08 11:37:56.003650, xqcow, longsox, BatChest, PRIVMSG
2021-11-08 11:37:56.003660, xqcow, feelspeppaman, BatChest 3 kills, PRIVMSG
2021-11-08 11:37:56.191651, xqcow, gusporrero, BatChest, PRIVMSG
2021-11-08 11:37:56.191694, xqcow, hyperr_xd, LULW, PRIVMSG
2021-11-08 11:37:56.191711, xqcow, seak1, Copege, PRIVMSG
2021-11-08 11:37:56.191727, xqcow, akidnamedbrady, COD DEVS A JOKE OMEGALUL COD DEVS A JOKE OMEGALUL COD DEVS A JOKE OMEGALUL COD DEVS A JOKE OMEGALUL COD DEVS A JOKE OMEGALUL COD DEVS A JOKE OMEGALUL, PRIVMSG
2021-11-08 11:37:56.191741, xqcow, 1taro2, Kappa, PRIVMSG
2021-11-08 11:37:56.380597, xqcow, whompler, LULW, PRIVMSG
2021-11-08 11:37:56.380640, xqcow, bumzoid, 90% CONSOLE LULW, PRIVMSG
2021-11-08 11:37:56.380657, xqcow, carryal0t, Copege, PRIVMSG
2021-11-08 11:37:56.380673, xqcow, silvrbaxx, character=u schnoz\, PRIVMSG
2021-11-08 11:37:56.380689, xqcow, iamslaytanic, oh nonono, PRIVMSG
2021-11-08 11:37:56.571747, xqcow, blazepeko, OMEGALUL RESKIN OMEGALUL RESKIN, PRIVMSG
2021-11-08 11:37:56.571789, xqcow, nicotisse, OMEGALUL, PRIVMSG
2021-11-08 11:37:56.571806, xqcow, instinct4220, dick, PRIVMSG
